task,psnrA,psnrB
0,8.79466438293457,9.884638786315918
1,15.620274543762209,12.586572647094728
2,11.206365585327148,8.360418319702148
3,12.310977935791016,12.067984580993652
4,15.19038200378418,12.237268447875977
5,14.307878494262695,13.636301040649414
6,14.7086820602417,10.17247200012207
7,10.105182647705078,9.78346061706543
8,14.807092666625977,11.173173904418944
9,16.159469604492188,13.82907485961914
10,9.673392295837402,9.469220161437988
11,12.530061721801758,10.54679012298584
12,16.356840133666992,11.764415740966797
13,13.649559020996094,6.229058265686035
14,15.360376358032228,13.822818756103516
15,15.08891487121582,11.118160247802734
16,14.921056747436523,11.26418113708496
17,17.153013229370117,12.01435089111328
18,17.406129837036133,9.628758430480955
19,16.964252471923828,10.32258415222168
