task,psnrA,psnrB
0,37.09577178955078,13.789365768432615
1,37.09577178955078,13.789365768432615
2,37.09577178955078,13.789365768432615
3,37.09577178955078,13.789365768432615
4,37.09577178955078,13.789365768432615
5,37.09577178955078,13.789365768432615
6,37.09577178955078,13.789365768432615
7,37.09577178955078,13.789365768432615
8,37.09577178955078,13.789365768432615
9,37.09577178955078,13.789365768432615
0,38.19588088989258,13.177799224853516
1,38.19588088989258,13.177799224853516
2,38.19588088989258,13.177799224853516
3,38.19588088989258,13.177799224853516
4,38.19588088989258,13.177799224853516
5,38.19588088989258,13.177799224853516
6,38.19588088989258,13.177799224853516
7,38.19588088989258,13.177799224853516
8,38.19588088989258,13.177799224853516
9,38.19588088989258,13.177799224853516
