task,psnrA,psnrB
0,16.052467346191406,14.12609577178955
1,16.052467346191406,14.12609577178955
2,16.052467346191406,14.12609577178955
3,16.052467346191406,14.12609577178955
4,16.052467346191406,14.12609577178955
5,16.052467346191406,14.12609577178955
6,16.052467346191406,14.12609577178955
7,16.052467346191406,14.12609577178955
8,16.052467346191406,14.12609577178955
0,52.77713394165039,46.002098083496094
1,52.77713394165039,46.002098083496094
2,52.77713394165039,46.002098083496094
3,52.77713394165039,46.002098083496094
4,52.77713394165039,46.002098083496094
5,52.77713394165039,46.002098083496094
6,52.77713394165039,46.002098083496094
7,52.77713394165039,46.002098083496094
8,52.77713394165039,46.002098083496094
9,52.77713394165039,46.002098083496094
