task,psnrA,psnrB
0,12.80643367767334,18.01693344116211
1,12.80643367767334,18.01693344116211
2,12.80643367767334,18.01693344116211
3,12.80643367767334,18.01693344116211
4,12.80643367767334,18.01693344116211
5,12.80643367767334,18.01693344116211
6,12.80643367767334,18.01693344116211
7,12.80643367767334,18.01693344116211
8,12.80643367767334,18.01693344116211
9,12.80643367767334,18.01693344116211
0,12.80643367767334,18.01693344116211
1,12.80643367767334,18.01693344116211
2,12.80643367767334,18.01693344116211
3,12.80643367767334,18.01693344116211
4,12.80643367767334,18.01693344116211
5,12.80643367767334,18.01693344116211
6,12.80643367767334,18.01693344116211
7,12.80643367767334,18.01693344116211
8,12.80643367767334,18.01693344116211
9,12.80643367767334,18.01693344116211
